scenario_id,E,N_s,N_w,p_s,p_w,r_s,r_w,q_s,q_w,k_s,k_w,c
183,18.75,3.8653846153846154,0,1,1,1,0.02,0.02,0.02,4,2,0.05
184,34.375,3.722222222222222,0,2,1,1,0.02,0.02,0.02,4,2,0.05
185,18.75,3.870175438596491,0,1,1.1,1,0.02,0.02,0.02,4,2,0.05
186,34.375,3.7389830508474575,0,2,1.1,1,0.02,0.02,0.02,4,2,0.05
187,18.75,3.8741935483870966,0,1,1.2,1,0.02,0.02,0.02,4,2,0.05
188,34.375,3.7531250000000003,0,2,1.2,1,0.02,0.02,0.02,4,2,0.05
189,18.75,3.877611940298508,0,1,1.3,1,0.02,0.02,0.02,4,2,0.05
190,34.375,3.765217391304348,0,2,1.3,1,0.02,0.02,0.02,4,2,0.05
191,18.75,3.8805555555555555,0,1,1.4,1,0.02,0.02,0.02,4,2,0.05
192,34.375,3.7756756756756755,0,2,1.4,1,0.02,0.02,0.02,4,2,0.05
193,18.75,3.883116883116883,0,1,1.5,1,0.02,0.02,0.02,4,2,0.05
194,34.375,3.7848101265822782,0,2,1.5,1,0.02,0.02,0.02,4,2,0.05
195,18.75,3.8853658536585365,0,1,1.6,1,0.02,0.02,0.02,4,2,0.05
196,34.375,3.7928571428571423,0,2,1.6,1,0.02,0.02,0.02,4,2,0.05
197,18.75,3.8873563218390803,0,1,1.7000000000000002,1,0.02,0.02,0.02,4,2,0.05
198,34.375,3.7999999999999994,0,2,1.7000000000000002,1,0.02,0.02,0.02,4,2,0.05
199,18.75,3.889130434782609,0,1,1.8,1,0.02,0.02,0.02,4,2,0.05
200,34.375,3.8063829787234043,0,2,1.8,1,0.02,0.02,0.02,4,2,0.05
201,18.75,3.890721649484536,0,1,1.9,1,0.02,0.02,0.02,4,2,0.05
202,34.375,3.812121212121212,0,2,1.9,1,0.02,0.02,0.02,4,2,0.05
203,18.75,3.892156862745098,0,1,2,1,0.02,0.02,0.02,4,2,0.05
204,34.375,3.817307692307692,0,2,2,1,0.02,0.02,0.02,4,2,0.05
205,18.75,3.893457943925234,0,1,2.1,1,0.02,0.02,0.02,4,2,0.05
206,34.375,3.8220183486238533,0,2,2.1,1,0.02,0.02,0.02,4,2,0.05
207,18.75,3.894642857142857,0,1,2.2,1,0.02,0.02,0.02,4,2,0.05
208,34.375,3.826315789473684,0,2,2.2,1,0.02,0.02,0.02,4,2,0.05
209,18.75,3.895726495726496,0,1,2.3,1,0.02,0.02,0.02,4,2,0.05
210,34.375,3.8302521008403363,0,2,2.3,1,0.02,0.02,0.02,4,2,0.05
211,18.75,3.89672131147541,0,1,2.4000000000000004,1,0.02,0.02,0.02,4,2,0.05
212,34.375,3.833870967741935,0,2,2.4000000000000004,1,0.02,0.02,0.02,4,2,0.05
213,18.75,3.8976377952755907,0,1,2.5,1,0.02,0.02,0.02,4,2,0.05
214,34.375,3.8372093023255816,0,2,2.5,1,0.02,0.02,0.02,4,2,0.05
215,18.75,3.8984848484848484,0,1,2.6,1,0.02,0.02,0.02,4,2,0.05
216,34.375,3.8402985074626868,0,2,2.6,1,0.02,0.02,0.02,4,2,0.05
217,18.75,3.899270072992701,0,1,2.7,1,0.02,0.02,0.02,4,2,0.05
218,34.375,3.8431654676258993,0,2,2.7,1,0.02,0.02,0.02,4,2,0.05
219,18.75,3.9,0,1,2.8,1,0.02,0.02,0.02,4,2,0.05
220,34.375,3.845833333333333,0,2,2.8,1,0.02,0.02,0.02,4,2,0.05
221,18.75,3.9006802721088434,0,1,2.9000000000000004,1,0.02,0.02,0.02,4,2,0.05
222,34.375,3.8483221476510066,0,2,2.9000000000000004,1,0.02,0.02,0.02,4,2,0.05
223,18.75,3.901315789473684,0,1,3,1,0.02,0.02,0.02,4,2,0.05
224,34.375,3.8506493506493507,0,2,3,1,0.02,0.02,0.02,4,2,0.05
