scenario_id,E,N_s,N_w,p_s,p_w,r_s,r_w,q_s,q_w,k_s,k_w,c
173,46.565934065934066,3.3925549915397637,0,9.1,1,1,0.01,0.02,0.02,4,2,0.05
174,46.60326086956522,3.3868243243243246,0,9.200000000000001,1,1,0.01,0.02,0.02,4,2,0.05
175,46.63978494623656,3.381112984822934,0,9.3,1,1,0.01,0.02,0.02,4,2,0.05
176,46.67553191489362,3.3754208754208754,0,9.4,1,1,0.01,0.02,0.02,4,2,0.05
177,46.71052631578947,3.369747899159664,0,9.5,1,1,0.01,0.02,0.02,4,2,0.05
178,46.74479166666667,3.3640939597315436,0,9.6,1,1,0.01,0.02,0.02,4,2,0.05
179,46.77835051546392,3.358458961474037,0,9.700000000000001,1,1,0.01,0.02,0.02,4,2,0.05
180,46.81122448979592,3.3528428093645486,0,9.8,1,1,0.01,0.02,0.02,4,2,0.05
181,46.84343434343434,3.347245409015025,0,9.9,1,1,0.01,0.02,0.02,4,2,0.05
182,46.875,3.341666666666667,0,10,1,1,0.01,0.02,0.02,4,2,0.05
183,18.75,2.5,0,1,0,1,0.02,0.02,0.02,4,2,0.05
184,21.590909090909093,2.2727272727272725,0,1.1,0,1,0.02,0.02,0.02,4,2,0.05
185,23.958333333333332,2.083333333333333,0,1.2,0,1,0.02,0.02,0.02,4,2,0.05
186,25.961538461538463,1.923076923076923,0,1.3,0,1,0.02,0.02,0.02,4,2,0.05
187,27.678571428571423,1.785714285714286,0,1.4,0,1,0.02,0.02,0.02,4,2,0.05
188,29.166666666666664,1.6666666666666665,0,1.5,0,1,0.02,0.02,0.02,4,2,0.05
189,30.46875,1.5625,0,1.6,0,1,0.02,0.02,0.02,4,2,0.05
190,31.61764705882353,1.4705882352941173,0,1.7000000000000002,0,1,0.02,0.02,0.02,4,2,0.05
191,32.63888888888889,1.3888888888888888,0,1.8,0,1,0.02,0.02,0.02,4,2,0.05
192,33.55263157894737,1.3157894736842104,0,1.9,0,1,0.02,0.02,0.02,4,2,0.05
193,34.375,1.25,0,2,0,1,0.02,0.02,0.02,4,2,0.05
194,35.11904761904761,1.1904761904761905,0,2.1,0,1,0.02,0.02,0.02,4,2,0.05
195,35.79545454545455,1.1363636363636362,0,2.2,0,1,0.02,0.02,0.02,4,2,0.05
196,36.41304347826087,1.0869565217391306,0,2.3,0,1,0.02,0.02,0.02,4,2,0.05
197,36.97916666666667,1.0416666666666665,0,2.4000000000000004,0,1,0.02,0.02,0.02,4,2,0.05
198,37.5,1,0,2.5,0,1,0.02,0.02,0.02,4,2,0.05
199,37.980769230769226,0.9615384615384615,0,2.6,0,1,0.02,0.02,0.02,4,2,0.05
200,38.42592592592593,0.9259259259259257,0,2.7,0,1,0.02,0.02,0.02,4,2,0.05
201,38.83928571428571,0.892857142857143,0,2.8,0,1,0.02,0.02,0.02,4,2,0.05
202,39.224137931034484,0.8620689655172412,0,2.9000000000000004,0,1,0.02,0.02,0.02,4,2,0.05
203,39.58333333333333,0.8333333333333333,0,3,0,1,0.02,0.02,0.02,4,2,0.05
204,39.91935483870967,0.8064516129032259,0,3.1,0,1,0.02,0.02,0.02,4,2,0.05
205,40.234375,0.78125,0,3.2,0,1,0.02,0.02,0.02,4,2,0.05
206,40.53030303030303,0.7575757575757575,0,3.3000000000000003,0,1,0.02,0.02,0.02,4,2,0.05
207,40.80882352941176,0.7352941176470587,0,3.4000000000000004,0,1,0.02,0.02,0.02,4,2,0.05
208,41.07142857142857,0.7142857142857143,0,3.5,0,1,0.02,0.02,0.02,4,2,0.05
209,41.31944444444444,0.6944444444444444,0,3.6,0,1,0.02,0.02,0.02,4,2,0.05
210,41.554054054054056,0.6756756756756757,0,3.7,0,1,0.02,0.02,0.02,4,2,0.05
211,41.776315789473685,0.6578947368421052,0,3.8000000000000003,0,1,0.02,0.02,0.02,4,2,0.05
212,41.98717948717949,0.641025641025641,0,3.9000000000000004,0,1,0.02,0.02,0.02,4,2,0.05
213,42.1875,0.625,0,4,0,1,0.02,0.02,0.02,4,2,0.05
214,42.3780487804878,0.6097560975609757,0,4.1,0,1,0.02,0.02,0.02,4,2,0.05
215,42.55952380952381,0.5952380952380952,0,4.2,0,1,0.02,0.02,0.02,4,2,0.05
216,42.73255813953488,0.5813953488372092,0,4.300000000000001,0,1,0.02,0.02,0.02,4,2,0.05
217,42.89772727272727,0.5681818181818181,0,4.4,0,1,0.02,0.02,0.02,4,2,0.05
218,43.05555555555556,0.5555555555555556,0,4.5,0,1,0.02,0.02,0.02,4,2,0.05
219,43.20652173913043,0.5434782608695653,0,4.6,0,1,0.02,0.02,0.02,4,2,0.05
220,43.351063829787236,0.5319148936170213,0,4.7,0,1,0.02,0.02,0.02,4,2,0.05
221,43.489583333333336,0.5208333333333333,0,4.800000000000001,0,1,0.02,0.02,0.02,4,2,0.05
222,43.62244897959184,0.510204081632653,0,4.9,0,1,0.02,0.02,0.02,4,2,0.05
223,43.75,0.5,0,5,0,1,0.02,0.02,0.02,4,2,0.05
224,43.872549019607845,0.4901960784313726,0,5.1000000000000005,0,1,0.02,0.02,0.02,4,2,0.05
225,43.99038461538461,0.4807692307692307,0,5.2,0,1,0.02,0.02,0.02,4,2,0.05
226,44.10377358490566,0.4716981132075472,0,5.3,0,1,0.02,0.02,0.02,4,2,0.05
227,44.21296296296296,0.46296296296296285,0,5.4,0,1,0.02,0.02,0.02,4,2,0.05
228,44.31818181818182,0.45454545454545453,0,5.5,0,1,0.02,0.02,0.02,4,2,0.05
229,44.41964285714286,0.4464285714285714,0,5.6000000000000005,0,1,0.02,0.02,0.02,4,2,0.05
230,44.51754385964912,0.4385964912280701,0,5.7,0,1,0.02,0.02,0.02,4,2,0.05
231,44.612068965517246,0.4310344827586206,0,5.800000000000001,0,1,0.02,0.02,0.02,4,2,0.05
232,44.70338983050848,0.42372881355932207,0,5.9,0,1,0.02,0.02,0.02,4,2,0.05
233,44.79166666666667,0.41666666666666663,0,6,0,1,0.02,0.02,0.02,4,2,0.05
234,44.877049180327866,0.40983606557377045,0,6.1000000000000005,0,1,0.02,0.02,0.02,4,2,0.05
235,44.95967741935484,0.40322580645161293,0,6.2,0,1,0.02,0.02,0.02,4,2,0.05
236,45.03968253968254,0.39682539682539675,0,6.300000000000001,0,1,0.02,0.02,0.02,4,2,0.05
237,45.1171875,0.390625,0,6.4,0,1,0.02,0.02,0.02,4,2,0.05
238,45.19230769230769,0.3846153846153846,0,6.5,0,1,0.02,0.02,0.02,4,2,0.05
