scenario_id,E,N_s,N_w,p_w,p_s,r_s,r_w,q_s,q_w,k_s,k_w,c
131,38.28125,3.935526315789474,0,4.9,2,1,0.01,0.02,0.02,4,2,0.0375
132,38.28125,3.936011904761905,0,5,2,1,0.01,0.02,0.02,4,2,0.0375
133,38.28125,3.93647859922179,0,5.1000000000000005,2,1,0.01,0.02,0.02,4,2,0.0375
134,38.28125,3.9369274809160304,0,5.2,2,1,0.01,0.02,0.02,4,2,0.0375
135,38.28125,3.9373595505617978,0,5.3,2,1,0.01,0.02,0.02,4,2,0.0375
136,38.28125,3.9377757352941174,0,5.4,2,1,0.01,0.02,0.02,4,2,0.0375
137,38.28125,3.938176895306859,0,5.5,2,1,0.01,0.02,0.02,4,2,0.0375
138,38.28125,3.9385638297872343,0,5.6000000000000005,2,1,0.01,0.02,0.02,4,2,0.0375
139,38.28125,3.9389372822299653,0,5.7,2,1,0.01,0.02,0.02,4,2,0.0375
140,38.28125,3.93929794520548,0,5.800000000000001,2,1,0.01,0.02,0.02,4,2,0.0375
141,38.28125,3.9396464646464646,0,5.9,2,1,0.01,0.02,0.02,4,2,0.0375
142,38.28125,3.9399834437086088,0,6,2,1,0.01,0.02,0.02,4,2,0.0375
143,38.28125,3.9403094462540715,0,6.1000000000000005,2,1,0.01,0.02,0.02,4,2,0.0375
144,38.28125,3.9406250000000003,0,6.2,2,1,0.01,0.02,0.02,4,2,0.0375
145,38.28125,3.9409305993690853,0,6.300000000000001,2,1,0.01,0.02,0.02,4,2,0.0375
146,38.28125,3.9412267080745345,0,6.4,2,1,0.01,0.02,0.02,4,2,0.0375
147,38.28125,3.9415137614678897,0,6.5,2,1,0.01,0.02,0.02,4,2,0.0375
148,38.28125,3.941792168674698,0,6.6000000000000005,2,1,0.01,0.02,0.02,4,2,0.0375
149,38.28125,3.9420623145400597,0,6.7,2,1,0.01,0.02,0.02,4,2,0.0375
150,38.28125,3.9423245614035083,0,6.800000000000001,2,1,0.01,0.02,0.02,4,2,0.0375
151,38.28125,3.942579250720461,0,6.9,2,1,0.01,0.02,0.02,4,2,0.0375
152,38.28125,3.9428267045454555,0,7,2,1,0.01,0.02,0.02,4,2,0.0375
153,38.28125,3.943067226890756,0,7.1000000000000005,2,1,0.01,0.02,0.02,4,2,0.0375
154,38.28125,3.9433011049723765,0,7.2,2,1,0.01,0.02,0.02,4,2,0.0375
155,38.28125,3.9435286103542238,0,7.300000000000001,2,1,0.01,0.02,0.02,4,2,0.0375
156,38.28125,3.94375,0,7.4,2,1,0.01,0.02,0.02,4,2,0.0375
157,38.28125,3.943965517241379,0,7.5,2,1,0.01,0.02,0.02,4,2,0.0375
158,38.28125,3.9441753926701577,0,7.6000000000000005,2,1,0.01,0.02,0.02,4,2,0.0375
159,38.28125,3.94437984496124,0,7.7,2,1,0.01,0.02,0.02,4,2,0.0375
160,38.28125,3.9445790816326536,0,7.800000000000001,2,1,0.01,0.02,0.02,4,2,0.0375
161,38.28125,3.9447732997481104,0,7.9,2,1,0.01,0.02,0.02,4,2,0.0375
162,38.28125,3.9449626865671643,0,8,2,1,0.01,0.02,0.02,4,2,0.0375
163,38.28125,3.9451474201474204,0,8.100000000000001,2,1,0.01,0.02,0.02,4,2,0.0375
164,38.28125,3.9453276699029125,0,8.2,2,1,0.01,0.02,0.02,4,2,0.0375
165,38.28125,3.945503597122302,0,8.3,2,1,0.01,0.02,0.02,4,2,0.0375
166,38.28125,3.9456753554502373,0,8.4,2,1,0.01,0.02,0.02,4,2,0.0375
167,38.28125,3.9458430913348947,0,8.5,2,1,0.01,0.02,0.02,4,2,0.0375
168,38.28125,3.946006944444445,0,8.600000000000001,2,1,0.01,0.02,0.02,4,2,0.0375
169,38.28125,3.94616704805492,0,8.7,2,1,0.01,0.02,0.02,4,2,0.0375
170,38.28125,3.9463235294117647,0,8.8,2,1,0.01,0.02,0.02,4,2,0.0375
171,38.28125,3.946476510067115,0,8.9,2,1,0.01,0.02,0.02,4,2,0.0375
172,38.28125,3.94662610619469,0,9,2,1,0.01,0.02,0.02,4,2,0.0375
173,38.28125,3.9467724288840262,0,9.1,2,1,0.01,0.02,0.02,4,2,0.0375
174,38.28125,3.9469155844155845,0,9.200000000000001,2,1,0.01,0.02,0.02,4,2,0.0375
175,38.28125,3.9470556745182015,0,9.3,2,1,0.01,0.02,0.02,4,2,0.0375
176,38.28125,3.947192796610169,0,9.4,2,1,0.01,0.02,0.02,4,2,0.0375
177,38.28125,3.9473270440251573,0,9.5,2,1,0.01,0.02,0.02,4,2,0.0375
178,38.28125,3.947458506224067,0,9.6,2,1,0.01,0.02,0.02,4,2,0.0375
179,38.28125,3.94758726899384,0,9.700000000000001,2,1,0.01,0.02,0.02,4,2,0.0375
180,38.28125,3.947713414634146,0,9.8,2,1,0.01,0.02,0.02,4,2,0.0375
181,38.28125,3.9478370221327967,0,9.9,2,1,0.01,0.02,0.02,4,2,0.0375
182,38.28125,3.947958167330678,0,10,2,1,0.01,0.02,0.02,4,2,0.0375
183,26.5625,3.8413461538461537,0,1,1,1,0.02,0.02,0.02,4,2,0.0375
