time,stock_price,price,scenario_label
20.400000000000002,Weak stock,1,None
20.5,Strong stock,1,None
20.5,Weak stock,1,None
20.6,Strong stock,1,None
20.6,Weak stock,1,None
20.700000000000003,Strong stock,1,None
20.700000000000003,Weak stock,1,None
20.8,Strong stock,1,None
20.8,Weak stock,1,None
20.900000000000002,Strong stock,1,None
20.900000000000002,Weak stock,1,None
21,Strong stock,1,None
21,Weak stock,1,None
21.1,Strong stock,1,None
21.1,Weak stock,1,None
21.200000000000003,Strong stock,1,None
21.200000000000003,Weak stock,1,None
21.3,Strong stock,1,None
21.3,Weak stock,1,None
21.400000000000002,Strong stock,1,None
21.400000000000002,Weak stock,1,None
21.5,Strong stock,1,None
21.5,Weak stock,1,None
21.6,Strong stock,1,None
21.6,Weak stock,1,None
21.700000000000003,Strong stock,1,None
21.700000000000003,Weak stock,1,None
21.8,Strong stock,1,None
21.8,Weak stock,1,None
21.900000000000002,Strong stock,1,None
21.900000000000002,Weak stock,1,None
22,Strong stock,1,None
22,Weak stock,1,None
22.1,Strong stock,1,None
22.1,Weak stock,1,None
22.200000000000003,Strong stock,1,None
22.200000000000003,Weak stock,1,None
22.3,Strong stock,1,None
22.3,Weak stock,1,None
22.400000000000002,Strong stock,1,None
22.400000000000002,Weak stock,1,None
22.5,Strong stock,1,None
22.5,Weak stock,1,None
22.6,Strong stock,1,None
22.6,Weak stock,1,None
22.700000000000003,Strong stock,1,None
22.700000000000003,Weak stock,1,None
22.8,Strong stock,1,None
22.8,Weak stock,1,None
22.900000000000002,Strong stock,1,None
22.900000000000002,Weak stock,1,None
23,Strong stock,1,None
23,Weak stock,1,None
23.1,Strong stock,1,None
23.1,Weak stock,1,None
23.200000000000003,Strong stock,1,None
23.200000000000003,Weak stock,1,None
23.3,Strong stock,1,None
23.3,Weak stock,1,None
23.400000000000002,Strong stock,1,None
23.400000000000002,Weak stock,1,None
23.5,Strong stock,1,None
23.5,Weak stock,1,None
23.6,Strong stock,1,None
23.6,Weak stock,1,None
23.700000000000003,Strong stock,1,None
23.700000000000003,Weak stock,1,None
23.8,Strong stock,1,None
23.8,Weak stock,1,None
23.900000000000002,Strong stock,1,None
23.900000000000002,Weak stock,1,None
24,Strong stock,1,None
24,Weak stock,1,None
24.1,Strong stock,1,None
24.1,Weak stock,1,None
24.200000000000003,Strong stock,1,None
24.200000000000003,Weak stock,1,None
24.3,Strong stock,1,None
24.3,Weak stock,1,None
24.400000000000002,Strong stock,1,None
24.400000000000002,Weak stock,1,None
24.5,Strong stock,1,None
24.5,Weak stock,1,None
24.6,Strong stock,1,None
24.6,Weak stock,1,None
24.700000000000003,Strong stock,1,None
24.700000000000003,Weak stock,1,None
24.8,Strong stock,1,None
24.8,Weak stock,1,None
24.900000000000002,Strong stock,1,None
24.900000000000002,Weak stock,1,None
25,Strong stock,1,None
25,Weak stock,1,None
25.1,Strong stock,1,None
25.1,Weak stock,1,None
25.200000000000003,Strong stock,1,None
25.200000000000003,Weak stock,1,None
25.3,Strong stock,1,None
25.3,Weak stock,1,None
25.400000000000002,Strong stock,1,None
25.400000000000002,Weak stock,1,None
25.5,Strong stock,1,None
25.5,Weak stock,1,None
25.6,Strong stock,1,None
25.6,Weak stock,1,None
25.700000000000003,Strong stock,1,None
25.700000000000003,Weak stock,1,None
25.8,Strong stock,1,None
25.8,Weak stock,1,None
25.900000000000002,Strong stock,1,None
25.900000000000002,Weak stock,1,None
26,Strong stock,1,None
26,Weak stock,1,None
26.1,Strong stock,1,None
26.1,Weak stock,1,None
26.200000000000003,Strong stock,1,None
26.200000000000003,Weak stock,1,None
26.3,Strong stock,1,None
26.3,Weak stock,1,None
26.400000000000002,Strong stock,1,None
26.400000000000002,Weak stock,1,None
26.5,Strong stock,1,None
26.5,Weak stock,1,None
26.6,Strong stock,1,None
26.6,Weak stock,1,None
26.700000000000003,Strong stock,1,None
26.700000000000003,Weak stock,1,None
26.8,Strong stock,1,None
26.8,Weak stock,1,None
26.900000000000002,Strong stock,1,None
26.900000000000002,Weak stock,1,None
27,Strong stock,1,None
27,Weak stock,1,None
27.1,Strong stock,1,None
27.1,Weak stock,1,None
27.200000000000003,Strong stock,1,None
27.200000000000003,Weak stock,1,None
27.3,Strong stock,1,None
27.3,Weak stock,1,None
27.400000000000002,Strong stock,1,None
27.400000000000002,Weak stock,1,None
27.5,Strong stock,1,None
27.5,Weak stock,1,None
27.6,Strong stock,1,None
27.6,Weak stock,1,None
27.700000000000003,Strong stock,1,None
27.700000000000003,Weak stock,1,None
27.8,Strong stock,1,None
27.8,Weak stock,1,None
27.900000000000002,Strong stock,1,None
27.900000000000002,Weak stock,1,None
28,Strong stock,1,None
28,Weak stock,1,None
28.1,Strong stock,1,None
28.1,Weak stock,1,None
28.200000000000003,Strong stock,1,None
28.200000000000003,Weak stock,1,None
28.3,Strong stock,1,None
28.3,Weak stock,1,None
28.400000000000002,Strong stock,1,None
28.400000000000002,Weak stock,1,None
28.5,Strong stock,1,None
28.5,Weak stock,1,None
28.6,Strong stock,1,None
28.6,Weak stock,1,None
28.700000000000003,Strong stock,1,None
28.700000000000003,Weak stock,1,None
28.8,Strong stock,1,None
28.8,Weak stock,1,None
28.900000000000002,Strong stock,1,None
28.900000000000002,Weak stock,1,None
29,Strong stock,1,None
29,Weak stock,1,None
29.1,Strong stock,1,None
29.1,Weak stock,1,None
29.200000000000003,Strong stock,1,None
29.200000000000003,Weak stock,1,None
29.3,Strong stock,1,None
29.3,Weak stock,1,None
29.400000000000002,Strong stock,1,None
29.400000000000002,Weak stock,1,None
29.5,Strong stock,1,None
29.5,Weak stock,1,None
29.6,Strong stock,1,None
29.6,Weak stock,1,None
29.700000000000003,Strong stock,1,None
29.700000000000003,Weak stock,1,None
29.8,Strong stock,1,None
29.8,Weak stock,1,None
29.900000000000002,Strong stock,1,None
29.900000000000002,Weak stock,1,None
30,Strong stock,1,None
30,Weak stock,1,None
30.1,Strong stock,1,None
30.1,Weak stock,1,None
30.200000000000003,Strong stock,1,None
30.200000000000003,Weak stock,1,None
30.3,Strong stock,1,None
30.3,Weak stock,1,None
30.400000000000002,Strong stock,1,None
30.400000000000002,Weak stock,1,None
30.5,Strong stock,1,None
30.5,Weak stock,1,None
30.6,Strong stock,1,None
30.6,Weak stock,1,None
30.700000000000003,Strong stock,1,None
30.700000000000003,Weak stock,1,None
30.8,Strong stock,1,None
30.8,Weak stock,1,None
30.900000000000002,Strong stock,1,None
30.900000000000002,Weak stock,1,None
31,Strong stock,1,None
31,Weak stock,1,None
31.1,Strong stock,1,None
31.1,Weak stock,1,None
31.200000000000003,Strong stock,1,None
31.200000000000003,Weak stock,1,None
31.3,Strong stock,1,None
31.3,Weak stock,1,None
31.400000000000002,Strong stock,1,None
31.400000000000002,Weak stock,1,None
31.5,Strong stock,1,None
31.5,Weak stock,1,None
31.6,Strong stock,1,None
31.6,Weak stock,1,None
31.700000000000003,Strong stock,1,None
31.700000000000003,Weak stock,1,None
31.8,Strong stock,1,None
31.8,Weak stock,1,None
31.900000000000002,Strong stock,1,None
31.900000000000002,Weak stock,1,None
32,Strong stock,1,None
32,Weak stock,1,None
32.1,Strong stock,1,None
32.1,Weak stock,1,None
32.2,Strong stock,1,None
32.2,Weak stock,1,None
32.300000000000004,Strong stock,1,None
32.300000000000004,Weak stock,1,None
32.4,Strong stock,1,None
32.4,Weak stock,1,None
32.5,Strong stock,1,None
32.5,Weak stock,1,None
32.6,Strong stock,1,None
32.6,Weak stock,1,None
32.7,Strong stock,1,None
32.7,Weak stock,1,None
32.800000000000004,Strong stock,1,None
32.800000000000004,Weak stock,1,None
32.9,Strong stock,1,None
32.9,Weak stock,1,None
33,Strong stock,1,None
33,Weak stock,1,None
33.1,Strong stock,1,None
33.1,Weak stock,1,None
33.2,Strong stock,1,None
33.2,Weak stock,1,None
33.300000000000004,Strong stock,1,None
33.300000000000004,Weak stock,1,None
33.4,Strong stock,1,None
33.4,Weak stock,1,None
33.5,Strong stock,1,None
33.5,Weak stock,1,None
33.6,Strong stock,1,None
33.6,Weak stock,1,None
33.7,Strong stock,1,None
33.7,Weak stock,1,None
33.800000000000004,Strong stock,1,None
33.800000000000004,Weak stock,1,None
33.9,Strong stock,1,None
33.9,Weak stock,1,None
34,Strong stock,1,None
34,Weak stock,1,None
34.1,Strong stock,1,None
34.1,Weak stock,1,None
34.2,Strong stock,1,None
34.2,Weak stock,1,None
34.300000000000004,Strong stock,1,None
34.300000000000004,Weak stock,1,None
34.4,Strong stock,1,None
34.4,Weak stock,1,None
34.5,Strong stock,1,None
34.5,Weak stock,1,None
34.6,Strong stock,1,None
34.6,Weak stock,1,None
34.7,Strong stock,1,None
34.7,Weak stock,1,None
34.800000000000004,Strong stock,1,None
34.800000000000004,Weak stock,1,None
34.9,Strong stock,1,None
34.9,Weak stock,1,None
35,Strong stock,1,None
35,Weak stock,1,None
35.1,Strong stock,1,None
35.1,Weak stock,1,None
35.2,Strong stock,1,None
35.2,Weak stock,1,None
35.300000000000004,Strong stock,1,None
35.300000000000004,Weak stock,1,None
35.4,Strong stock,1,None
35.4,Weak stock,1,None
35.5,Strong stock,1,None
35.5,Weak stock,1,None
35.6,Strong stock,1,None
35.6,Weak stock,1,None
35.7,Strong stock,1,None
35.7,Weak stock,1,None
35.800000000000004,Strong stock,1,None
35.800000000000004,Weak stock,1,None
35.9,Strong stock,1,None
35.9,Weak stock,1,None
36,Strong stock,1,None
36,Weak stock,1,None
36.1,Strong stock,1,None
36.1,Weak stock,1,None
36.2,Strong stock,1,None
36.2,Weak stock,1,None
36.300000000000004,Strong stock,1,None
36.300000000000004,Weak stock,1,None
36.4,Strong stock,1,None
36.4,Weak stock,1,None
36.5,Strong stock,1,None
36.5,Weak stock,1,None
36.6,Strong stock,1,None
36.6,Weak stock,1,None
36.7,Strong stock,1,None
36.7,Weak stock,1,None
36.800000000000004,Strong stock,1,None
36.800000000000004,Weak stock,1,None
36.9,Strong stock,1,None
36.9,Weak stock,1,None
37,Strong stock,1,None
37,Weak stock,1,None
37.1,Strong stock,1,None
37.1,Weak stock,1,None
37.2,Strong stock,1,None
37.2,Weak stock,1,None
37.300000000000004,Strong stock,1,None
37.300000000000004,Weak stock,1,None
37.4,Strong stock,1,None
37.4,Weak stock,1,None
37.5,Strong stock,1,None
37.5,Weak stock,1,None
37.6,Strong stock,1,None
37.6,Weak stock,1,None
